year,DOY,P11,P12,P13,P15
2016,103,1,1,1,0
2016,104,1,1,1,0
2016,105,1,1,1,0
2016,106,0,1,1,0
2016,107,1,1,1,0
2016,108,1,1,1,0
2016,134,1,1,1,0
2016,135,1,1,1,0
2016,136,1,1,1,0
2016,137,1,1,1,0
2016,138,1,1,1,0
2016,139,1,1,1,0
2016,143,1,1,1,0
2016,144,1,1,1,0
2016,145,1,1,1,0
2016,146,1,1,1,0
2016,147,1,1,1,0
2016,148,1,1,1,0
2016,149,1,1,1,0
2016,150,1,1,1,0
2016,176,1,1,1,0
2016,177,1,1,1,0
2016,178,1,1,1,0
2016,179,1,1,1,0
2016,180,1,1,1,0
2016,181,1,1,1,0
2016,182,1,1,1,0
2016,183,1,1,1,0
2016,184,1,1,1,0
2016,185,1,1,1,0
2016,186,1,1,1,0
2016,187,1,1,1,0
2016,188,1,1,1,0
2016,189,1,1,1,0
2016,190,1,1,1,0
2016,191,1,1,1,0
2016,192,1,1,1,0
2016,194,1,1,1,0
2016,195,1,1,1,0
2016,196,1,1,1,0
2016,197,1,1,1,0
2016,198,1,1,1,0
2016,199,1,1,1,0
2016,265,1,1,0,0
2016,266,0,1,0,0
2016,267,1,1,0,0
2016,268,1,1,0,0
2016,269,1,1,0,0
2016,270,1,1,0,0
2016,273,1,1,0,0
2016,274,1,1,0,0
2016,275,1,1,0,0
2016,276,1,1,0,0
2016,277,1,1,0,0
2017,54,1,1,0,0
2017,55,1,1,0,0
2017,56,1,1,0,0
2017,57,1,1,0,0
2017,58,1,1,0,0
2017,248,0,1,0,0
2017,249,0,1,0,0
2017,250,0,1,0,0
2017,251,0,1,0,0
2017,252,0,1,0,0
2017,253,0,1,0,0
2017,254,0,1,0,0
2017,258,0,1,0,0
2017,259,0,1,0,0
2017,260,0,1,0,0
2017,261,0,1,0,0
2017,262,0,1,0,0
2018,52,0,1,0,0
2018,53,0,1,0,0
2018,54,0,1,0,0
2018,55,0,1,0,0
2018,56,0,1,0,0
2018,57,0,1,0,0
2018,58,0,1,0,0
2018,121,0,1,0,0
2018,122,0,1,0,0
2018,123,0,1,0,0
2018,124,0,1,0,1
2018,125,0,1,0,1
2018,126,0,1,0,1
2018,127,0,1,0,1
2018,128,0,1,0,1
2018,129,0,1,0,1
2018,130,0,1,0,1
2018,160,0,1,0,1
2018,161,0,1,0,1
2018,162,0,1,0,1
2018,163,0,1,0,1
2018,164,0,1,0,1
2018,165,0,1,0,1
2018,166,0,1,0,1
2018,167,0,1,0,1
2018,168,0,1,0,1
2018,169,0,1,0,1
2018,170,0,1,0,1
2018,171,0,1,0,1
2018,172,0,1,0,1
2018,179,0,1,0,1
2018,180,0,1,0,1
2018,181,0,1,0,1
2018,182,0,1,0,1
2018,183,0,1,0,1
2018,184,0,1,0,1
2018,185,0,1,0,1
2018,186,0,1,0,1
