Year,DOY,pair
2016,103,BTT_BCT
2016,104,BTT_BCT
2016,105,BTT_BCT
2016,107,BTT_BCT
2016,108,BTT_BCT
2016,134,BTT_BCT
2016,135,BTT_BCT
2016,136,BTT_BCT
2016,137,BTT_BCT
2016,138,BTT_BCT
2016,139,BTT_BCT
2016,143,BTT_BCT
2016,144,BTT_BCT
2016,145,BTT_BCT
2016,146,BTT_BCT
2016,147,BTT_BCT
2016,148,BTT_BCT
2016,149,BTT_BCT
2016,150,BTT_BCT
2016,176,BTT_BCT
2016,177,BTT_BCT
2016,178,BTT_BCT
2016,179,BTT_BCT
2016,180,BTT_BCT
2016,181,BTT_BCT
2016,182,BTT_BCT
2016,183,BTT_BCT
2016,184,BTT_BCT
2016,185,BTT_BCT
2016,186,BTT_BCT
2016,187,BTT_BCT
2016,188,BTT_BCT
2016,189,BTT_BCT
2016,190,BTT_BCT
2016,191,BTT_BCT
2016,192,BTT_BCT
2016,194,BTT_BCT
2016,195,BTT_BCT
2016,196,BTT_BCT
2016,197,BTT_BCT
2016,198,BTT_BCT
2016,199,BTT_BCT
2016,265,BTT_BCT
2016,267,BTT_BCT
2016,268,BTT_BCT
2016,269,BTT_BCT
2016,270,BTT_BCT
2016,273,BTT_BCT
2016,274,BTT_BCT
2016,275,BTT_BCT
2016,276,BTT_BCT
2016,277,BTT_BCT
2017,54,BTT_BCT
2017,55,BTT_BCT
2017,56,BTT_BCT
2017,57,BTT_BCT
2017,58,BTT_BCT
